Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Diesel,SUV,"22,000",Oct 2022,Tata Harrier,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",167.67bhp,14.6 kmpl,https://www.cardekho.com/used-car-details/used-Tata-Harrier-Xza-Plus-At-Bsvi-cars-New-Delhi_c56853f2-3d46-46ce-a700-304537218fcc.htm,₹ 20.90 Lakh,2022
Petrol,Sedan,"48,000",May 2016,Maruti Ciaz,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",91.1bhp,19.12 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-At-Zxi-cars-New-Delhi_19cfa0a8-7f6a-48c2-9d44-11e7d2b61db3.htm,₹ 6.90 Lakh,2016
Petrol,Hatchback,"35,467",Oct 2016,Maruti Baleno,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",83.1bhp,21.4 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-1.2-Zeta-cars-Noida_9746e7fa-6d3a-4e52-b980-daecf1a0c4a5.htm,₹ 5.13 Lakh,2016
Petrol,Sedan,"54,481",Sept 2017,Hyundai Verna,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",121.3bhp,17 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Verna-Vtvt-1.6-At-Sx-Option-cars-Ghaziabad_2617f7db-4932-4fb8-bedb-816f7be9412e.htm,₹ 8.50 Lakh,2017
Petrol,SUV,"24,000",Jul 2022,Maruti Brezza,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking",101.65bhp,20.15 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Brezza-Lxi-Bsvi-cars-New-Delhi_06e9f51e-1098-4896-993e-c927b93de486.htm,₹ 8.35 Lakh,2022
Petrol,Hatchback,"76,181",Aug 2017,Hyundai Grand i10,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Speakers Front",81.86bhp,18.9 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Grand-I10-1.2-Kappa-Magna-Bsiv-cars-Ghaziabad_52584e4d-ccb5-4d07-9a3d-61f710bf1c3a.htm,₹ 4.39 Lakh,2017
Petrol,Hatchback,"23,842",Jan 2020,Maruti Baleno,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",81.80bhp,21.01 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-Zeta-cars-Faridabad_6e0a5392-e819-4f14-a6aa-76b76de68698.htm,₹ 7.20 Lakh,2020
Petrol,SUV,"20,000",2022,Maruti Vitara Brezza,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",103.26bhp,17.03 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Vitara-Brezza-Vxi-cars-New-Delhi_7e0fd74b-0c8d-42c0-bfb7-feed58072335.htm,₹ 9.42 Lakh,2022
Petrol,Sedan,"94,407",Aug 2014,Honda City,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",117.3bhp,18 kmpl,https://www.cardekho.com/buy-used-car-details/used-Honda-City-I-Vtec-Cvt-Vx-cars-Ghaziabad_25874980-b73f-4a17-a8ec-640ae1f1f5e4.htm,₹ 5.38 Lakh,2014
Petrol,Sedan,"80,000",2009,Hyundai Accent,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks",93.7bhp,16.36 kmpl,https://www.cardekho.com/used-car-details/used-Hyundai-Accent-Executive-cars-Gurgaon_9ac896d3-424d-4a28-8de4-6a2b413ca453.htm,₹ 1 Lakh,2009
Petrol,Hatchback,"1,24,245",Oct 2016,Maruti Baleno,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",83.1bhp,21.4 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-1.2-Zeta-cars-Ghaziabad_343065f9-4adc-4d10-b270-21b9e05e4ff0.htm,₹ 4.91 Lakh,2016
