Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Petrol,Hatchback,"25,086",Jun 2020,Maruti Wagon R,Third Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",81.80bhp,20.52 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Wagon-R-Vxi-1.2-cars-Bangalore_1ffdbcf8-7411-48f3-8310-8bd991f6e911.htm,₹ 5.13 Lakh,2020
Petrol,Hatchback,"54,845",Sept 2017,Maruti Baleno,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",81.80bhp,21.01 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-Zeta-cars-Bangalore_3fc365ed-adad-4bcc-a629-d9a28abef8be.htm,₹ 6.50 Lakh,2017
Diesel,Hatchback,"35,642",May 2020,Ford Freestyle,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",98.63bhp,24.4 kmpl,https://www.cardekho.com/buy-used-car-details/used-Ford-Freestyle-Titanium-Diesel-Bsiv-cars-Bangalore_bc2be907-5ad2-4889-8b81-bbe32036b074.htm,₹ 8.06 Lakh,2020
Petrol,Hatchback,"22,173",Jun 2016,Maruti Baleno,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",83.1bhp,21.4 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-1.2-Cvt-Delta-cars-Bangalore_b9cd79c9-0833-48ab-b466-fb41de45ee9f.htm,₹ 7.25 Lakh,2016
Diesel,Sedan,"50,000",Jul 2018,BMW 5 Series,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Changer",261.49bhp,17.42 kmpl,https://www.cardekho.com/used-car-details/used-Bmw-5-Series-530d-M-Sport-cars-Bangalore_2e57f012-ccb8-442e-983e-d901a540409d.htm,₹ 49.50 Lakh,2018
Petrol,Hatchback,"67,790",Jun 2014,Hyundai Grand i10,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",82bhp,18.9 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Grand-I10-Sportz-cars-Bangalore_4a6a45c7-f721-4365-ac54-3e6ab7d4a1bf.htm,₹ 4.26 Lakh,2014
Petrol,Hatchback,"38,000",Jan 2019,Maruti Alto K10,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",67.05bhp,23.95 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Alto-K10-Vxi-Optional-cars-Bangalore_1e69aa94-7087-450c-bd9b-0b4405397a3b.htm,₹ 4.85 Lakh,2019
Petrol,Hatchback,"49,713",Jun 2012,Honda Brio,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",86.8bhp,19.4 kmpl,https://www.cardekho.com/buy-used-car-details/used-Honda-Brio-V-Mt-cars-Bangalore_efbeea56-30cd-4c3f-8028-71044dc15c3a.htm,₹ 3.51 Lakh,2012
Petrol,Hatchback,"10,002",Apr 2021,Renault KWID,First Owner,"Power Steering, Low Fuel Warning Light, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking",67.06bhp,21.46 kmpl,https://www.cardekho.com/buy-used-car-details/used-Renault-Kwid-1.0-Rxl-Bsvi-cars-Bangalore_c606ee5a-ef9f-4da2-bcd6-86625f2cc176.htm,₹ 4.90 Lakh,2021
Diesel,SUV,"46,706",Jan 2017,Mahindra XUV500,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",140bhp,16 kmpl,https://www.cardekho.com/used-car-details/used-Mahindra-Xuv500-W10-2wd-cars-Bangalore_9105204b-1b4d-4b03-8a35-077b746bba9d.htm,₹ 14.95 Lakh,2017
Diesel,Hatchback,"90,000",2014,Maruti Swift,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",74bhp,25.2 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vdi-Bsiv-cars-Bangalore_f52f4aab-1534-4caf-a431-8b03718ef54a.htm,₹ 5.10 Lakh,2014
Diesel,SUV,"1,06,000",Jun 2016,BMW X3,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",187.7bhp,18.56 kmpl,https://www.cardekho.com/used-car-details/used-Bmw-X3-Xdrive-20d-Xline-cars-Bangalore_4a8c51d8-99f6-4f18-9887-2ba055790d31.htm,₹ 27.50 Lakh,2016
Petrol,Hatchback,"55,833",Jul 2017,Volkswagen Polo,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",103.5bhp,17.21 kmpl,https://www.cardekho.com/used-car-details/used-Volkswagen-Polo-Gt-Tsi-cars-Bangalore_ad34dd1c-bd04-4ee6-bd11-1326324e976b.htm,₹ 10.25 Lakh,2017
