Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Diesel,Hatchback,"9,134",Oct 2022,Tata Altroz,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",88.77bhp,23.64 kmpl,https://www.cardekho.com/buy-used-car-details/used-Tata-Altroz-Xz-Plus-Dark-Edition-Diesel-Bsvi-cars-Kolkata_22940883-c1cf-494d-9bdb-11628968faa7.htm,₹ 9.14 Lakh,2022
Petrol,Hatchback,"23,092",Apr 2022,Maruti Baleno,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",83.1bhp,21.4 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-1.2-Alpha-cars-Kolkata_f770cb29-6849-466c-a643-e256363c3e4e.htm,₹ 8.40 Lakh,2022
Diesel,Hatchback,"33,937",Nov 2020,Tata Altroz,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",88.77bhp,23.64 kmpl,https://www.cardekho.com/buy-used-car-details/used-Tata-Altroz-Xz-Diesel-Bsvi-cars-Kolkata_2c38fcd9-d01f-437f-bc46-fe5d3d5e1cb5.htm,₹ 6.84 Lakh,2020
Petrol,Sedan,"20,000",2015,Maruti Ciaz,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Centeral Locking, Power Door Locks, Cd Player",91.1bhp,20.73 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-Vxi-cars-Kolkata_061dc673-fec8-4f66-9ca5-ed0908e886d7.htm,₹ 5.24 Lakh,2015
Petrol,Hatchback,"49,134",Oct 2017,Toyota Etios Liva,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",78.9bhp,17.71 kmpl,https://www.cardekho.com/buy-used-car-details/used-Toyota-Etios-Liva-1.2-V-cars-Kolkata_a19b996b-a3e1-4f72-ab69-e886388d9dab.htm,₹ 4.42 Lakh,2017
Petrol,Hatchback,"71,900",Jun 2010,Maruti Ritz,Second Owner,"Power Steering, Low Fuel Warning Light, Air Conditioner, Heater, Fog Lights Rear, Power Adjustable Exterior Rear View Mirror, Child Safety Locks, Day Night Rear View Mirror",85.80bhp,21.1 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Ritz-Vxi-cars-Kolkata_34da8a42-01b9-4081-b5d4-2f5439da99d3.htm,₹ 1.92 Lakh,2010
Petrol,Hatchback,"20,000",2020,Maruti Wagon R,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",67.05bhp,21.79 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-Vxi-Opt-cars-Kolkata_e08f071d-1432-42a1-922b-d41e0380f15a.htm,₹ 5.80 Lakh,2020
Diesel,Sedan,"20,000",Feb 2019,BMW 5 Series,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",190bhp,18.12 kmpl,https://www.cardekho.com/used-car-details/used-Bmw-5-Series-520d-Luxury-Line-cars-Kolkata_46b8354a-0015-4418-b646-f921d234a59f.htm,₹ 38 Lakh,2019
Petrol,Sedan,"10,000",2021,Honda Amaze,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",88.76bhp,18.3 kmpl,https://www.cardekho.com/used-car-details/used-Honda-Amaze-Vx-Cvt-Petrol-cars-Kolkata_00aed32e-66f6-4b42-8f12-9799da9c0fd0.htm,₹ 8.29 Lakh,2021
Diesel,SUV,"22,336",Nov 2017,Ford Endeavour,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",197bhp,10.91 kmpl,https://www.cardekho.com/used-car-details/used-Ford-Endeavour-3.2-Titanium-At-4x4-cars-Kolkata_79e18978-32b4-4269-adb4-09140dec4ed7.htm,₹ 26.49 Lakh,2017
