Fuel_Type,Body_Type,Kilometers_Driven,Registration_Year,Car_Model,Ownership,Features,Engine_Power,Mileage,Car_Link,Price,Car_Age
Petrol,Hatchback,"80,546",Dec 2017,Maruti Baleno,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",83.1bhp,21.4 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-1.2-Alpha-cars-Hyderabad_edfd76cc-56be-4908-b4dc-90f490a87bd4.htm,₹ 6.35 Lakh,2017
Lpg,Hatchback,"10,000",2013,Maruti Wagon R,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks",61.6bhp,14.6 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-Duo-Lpg-cars-Hyderabad_1f1f72d8-7f7b-47bc-a74c-92e89e66fac4.htm,₹ 3.25 Lakh,2013
Petrol,Hatchback,"20,000",2008,Maruti Alto,Second Owner,"Power Steering, Remote Trunk Opener, Air Conditioner, Heater, Manually Adjustable Exterior Rear View Mirror, Tinted Glass, Brake Assist, Halogen Headlamps, Usb Auxiliary Input",46.3bhp,19.7 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Alto-Lxi-cars-Hyderabad_c2be32d8-02fb-4605-bf3c-0357e7e3f3a5.htm,₹ 1.20 Lakh,2008
Petrol,SUV,"20,000",2022,Tata Punch,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",86.63bhp,20.09 kmpl,https://www.cardekho.com/used-car-details/used-Tata-Punch-Creative-Bsvi-cars-Hyderabad_3f32317c-fb65-4944-a2d5-aeddf3cd7ef1.htm,₹ 8.50 Lakh,2022
Petrol,Sedan,"10,000",2022,Skoda Slavia,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",113.98bhp,18.07 kmpl,https://www.cardekho.com/used-car-details/used-Skoda-Slavia-1.0-Tsi-Style-At-Bsvi-cars-Hyderabad_4982edde-a247-4592-8ed5-8358a6703686.htm,₹ 17 Lakh,2022
Petrol,Sedan,"1,10,000",2012,Tata Manza,Third Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",88.8bhp,13.7 kmpl,https://www.cardekho.com/used-car-details/used-Tata-Manza-Aura-(abs)-Safire-Bs-Iv-cars-Hyderabad_739c0161-5344-441c-82ed-89ed4911db02.htm,₹ 1.70 Lakh,2012
Petrol,Sedan,"1,00,000",2006,Honda New Accord,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",144 ,11.9 kmpl,https://www.cardekho.com/used-car-details/used-Honda-New-Accord-Vti-l-Mt-cars-Hyderabad_057035be-7c87-4eba-8e41-8a194bebf5e6.htm,₹ 2 Lakh,2006
Diesel,SUV,"20,000",2012,Mahindra Scorpio,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks",120bhp,12.05 kmpl,https://www.cardekho.com/used-car-details/used-Mahindra-Scorpio-Lx-2wd-7s-cars-Hyderabad_91ede3f9-d28e-42e3-9ff3-298d0d6b64bc.htm,₹ 4 Lakh,2012
Diesel,SUV,"20,000",2012,Mahindra Scorpio,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Child Safety Locks",120bhp,12.05 kmpl,https://www.cardekho.com/used-car-details/used-Mahindra-Scorpio-Lx-2wd-7s-cars-Hyderabad_52b8a876-41f1-4ccf-94db-97f3f68a2436.htm,₹ 4 Lakh,2012
Petrol,Hatchback,"87,773",Nov 2014,Hyundai i10,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",68.05bhp,19.81 kmpl,https://www.cardekho.com/buy-used-car-details/used-Hyundai-I10-Sportz-1.1l-cars-Hyderabad_c1f39c4a-c2cb-42df-9e2d-f9d6792ac2d9.htm,₹ 3.27 Lakh,2014
Petrol,Sedan,"81,854",Jul 2018,Honda Amaze,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Cd Player",88.76bhp,19.5 kmpl,https://www.cardekho.com/buy-used-car-details/used-Honda-Amaze-S-Petrol-Bsiv-cars-Hyderabad_e552a4fe-a7cc-4efb-af30-87a0bc45e082.htm,₹ 6.27 Lakh,2018
Diesel,Hatchback,"1,10,000",2012,Maruti Swift,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player",74bhp,22.9 kmpl,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Vdi-cars-Hyderabad_14dc5353-a7fe-450c-9825-38b8e0f4de1c.htm,₹ 3.50 Lakh,2012
Petrol,SUV,"33,090",Oct 2021,Tata Nexon,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Anti Lock Braking System, Brake Assist, Radio",118.35bhp,17.33 kmpl,https://www.cardekho.com/buy-used-car-details/used-Tata-Nexon-Xz-Plus-Bsvi-cars-Hyderabad_8a358a19-664a-4794-84ac-e18e76ba44f2.htm,₹ 9.93 Lakh,2021
Petrol,Sedan,"76,071",May 2016,Maruti Ciaz,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",91.1bhp,20.73 kmpl,https://www.cardekho.com/buy-used-car-details/used-Maruti-Ciaz-Vxi-Plus-cars-Hyderabad_4b71175c-6275-4d3e-ab73-791fa6aa47f0.htm,₹ 5.50 Lakh,2016
Petrol,Hatchback,"60,000",2016,Renault KWID,Third Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Radio",53.3bhp,25.17 kmpl,https://www.cardekho.com/used-car-details/used-Renault-Kwid-Rxt-cars-Hyderabad_51b60a11-d03e-4242-8a68-2b2f7dd3a8f6.htm,₹ 2.50 Lakh,2016
Diesel,SUV,"96,529",Jun 2021,Tata New Safari,First Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",167.67bhp,14.08 kmpl,https://www.cardekho.com/buy-used-car-details/used-Tata-New-Safari-Xza-Plus-6-Str-At-Bsvi-cars-Hyderabad_796ef3af-2e09-442b-9758-9c5f3442665e.htm,₹ 19.24 Lakh,2021
Diesel,Sedan,"1,10,000",2011,Volkswagen Vento,Second Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",103.6bhp,20.54 kmpl,https://www.cardekho.com/used-car-details/used-Volkswagen-Vento-Diesel-Highline-cars-Hyderabad_9449c92e-1507-406a-8e75-0eed8d62e719.htm,₹ 2.70 Lakh,2011
Diesel,SUV,"89,576",Jul 2017,Ford Ecosport,Third Owner,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",98.59bhp,22.77 kmpl,https://www.cardekho.com/buy-used-car-details/used-Ford-Ecosport-1.5-Tdci-Titanium-Bsiv-cars-Hyderabad_e5b87a22-8d50-4662-b301-5d47232ac469.htm,₹ 6.69 Lakh,2017
